kepid,prob_confirmed,label
9011877,0.9709138,CANDIDATE
10118266,0.97089607,CANDIDATE
12105051,0.97087586,CANDIDATE
11805075,0.97086954,CANDIDATE
11904704,0.97084564,CANDIDATE
11075279,0.9708062,CANDIDATE
7663405,0.9707935,CANDIDATE
9011877,0.97074944,CANDIDATE
9006186,0.97073764,CANDIDATE
11075279,0.9707299,CANDIDATE
8546542,0.97068775,CANDIDATE
11075279,0.9706872,CANDIDATE
11904704,0.9706871,CANDIDATE
10140122,0.97059846,CANDIDATE
7663405,0.97059286,CANDIDATE
8007174,0.970493,CANDIDATE
12253769,0.9704816,CANDIDATE
8546542,0.9704705,CANDIDATE
11462341,0.9704015,CANDIDATE
12154526,0.970394,CANDIDATE
9509343,0.9703898,CANDIDATE
9203154,0.97036415,CANDIDATE
10395543,0.9703592,CANDIDATE
4472818,0.9703442,CANDIDATE
9203154,0.9703312,CANDIDATE
11805075,0.9703138,CANDIDATE
11288492,0.97028583,CANDIDATE
9993683,0.9702382,CANDIDATE
11904704,0.97019255,CANDIDATE
12300524,0.9701772,CANDIDATE
10319385,0.97014487,CANDIDATE
5897826,0.9701278,CANDIDATE
7032421,0.9701229,CANDIDATE
10928043,0.9701166,CANDIDATE
8216763,0.9701092,CANDIDATE
11805075,0.970108,CANDIDATE
9019191,0.9701066,CANDIDATE
11072016,0.9701043,CANDIDATE
10717241,0.9700884,CANDIDATE
7730747,0.9700809,CANDIDATE
9815053,0.97005606,CANDIDATE
9935642,0.9700472,CANDIDATE
5376836,0.9700417,CANDIDATE
8546542,0.97003436,CANDIDATE
6603756,0.9700088,CANDIDATE
11076400,0.9699691,CANDIDATE
9815053,0.96996874,CANDIDATE
5897826,0.96994656,CANDIDATE
7106173,0.96993387,CANDIDATE
11904704,0.9699249,CANDIDATE
11970988,0.96991897,CANDIDATE
8007174,0.9698713,CANDIDATE
11076400,0.9698547,CANDIDATE
9011877,0.9698352,CANDIDATE
9011877,0.9698286,CANDIDATE
4918309,0.96982723,CANDIDATE
8546542,0.9698098,CANDIDATE
11288492,0.9697917,CANDIDATE
10319385,0.96977127,CANDIDATE
8313667,0.96975046,CANDIDATE
7032421,0.96974295,CANDIDATE
11076400,0.96972543,CANDIDATE
9203154,0.969717,CANDIDATE
10140122,0.96966994,CANDIDATE
8018547,0.9696593,CANDIDATE
10140122,0.9696577,CANDIDATE
9634821,0.9696574,CANDIDATE
12301181,0.9696484,CANDIDATE
9634821,0.96963197,CANDIDATE
9815053,0.9696296,CANDIDATE
10118266,0.9696044,CANDIDATE
12300524,0.9695892,CANDIDATE
9993683,0.96957153,CANDIDATE
5897826,0.96955943,CANDIDATE
11805075,0.96953493,CANDIDATE
11602794,0.9695342,CANDIDATE
8121310,0.9694734,CANDIDATE
9580992,0.9694633,CANDIDATE
11019739,0.9694606,CANDIDATE
7663405,0.9694186,CANDIDATE
11241560,0.9693607,CANDIDATE
9828127,0.9693496,CANDIDATE
8261920,0.9693252,CANDIDATE
11602794,0.96929044,CANDIDATE
9993683,0.96927166,CANDIDATE
11970988,0.96926516,CANDIDATE
11076400,0.9692609,CANDIDATE
12301181,0.96925,CANDIDATE
7106173,0.9692452,CANDIDATE
7094944,0.96922195,CANDIDATE
9509343,0.9692171,CANDIDATE
9828127,0.9692007,CANDIDATE
12105051,0.9691947,CANDIDATE
9509343,0.9691909,CANDIDATE
11565544,0.9691612,CANDIDATE
9634821,0.9691557,CANDIDATE
9011877,0.9691487,CANDIDATE
7663405,0.9691487,CANDIDATE
11869052,0.9691068,CANDIDATE
11462341,0.96910626,CANDIDATE
11076400,0.96907926,CANDIDATE
11520114,0.9690475,CANDIDATE
11853130,0.969047,CANDIDATE
12349560,0.9690286,CANDIDATE
10140122,0.96899533,CANDIDATE
12300524,0.96899015,CANDIDATE
11870545,0.96895814,CANDIDATE
12602314,0.9689387,CANDIDATE
8554498,0.96893233,CANDIDATE
7663405,0.96892905,CANDIDATE
8546542,0.96892,CANDIDATE
12253769,0.9689002,CANDIDATE
11241560,0.96889615,CANDIDATE
9509343,0.96889496,CANDIDATE
5080636,0.9688833,CANDIDATE
11019739,0.96887624,CANDIDATE
10319385,0.96885836,CANDIDATE
12154526,0.9688195,CANDIDATE
8546542,0.96881884,CANDIDATE
6436029,0.96881706,CANDIDATE
9634821,0.9688094,CANDIDATE
11391755,0.96880263,CANDIDATE
8546542,0.96880174,CANDIDATE
8261920,0.968797,CANDIDATE
9509343,0.9687844,CANDIDATE
11288492,0.96878034,CANDIDATE
9509343,0.968778,CANDIDATE
9202151,0.96873045,CANDIDATE
4918309,0.9686867,CANDIDATE
9815053,0.9686855,CANDIDATE
12301181,0.9686669,CANDIDATE
11904704,0.96866155,CANDIDATE
11602794,0.96862686,CANDIDATE
9509343,0.9686187,CANDIDATE
10450504,0.9686045,CANDIDATE
9935642,0.96860117,CANDIDATE
7663405,0.96859914,CANDIDATE
9993683,0.9685753,CANDIDATE
9203154,0.96856904,CANDIDATE
7663405,0.9685649,CANDIDATE
7663405,0.9685118,CANDIDATE
9872283,0.96846706,CANDIDATE
11391755,0.9684654,CANDIDATE
7730747,0.9684632,CANDIDATE
5897826,0.9684532,CANDIDATE
12300524,0.9684076,CANDIDATE
10140122,0.96840715,CANDIDATE
8007174,0.96840537,CANDIDATE
11019739,0.9683539,CANDIDATE
7094944,0.96834457,CANDIDATE
10319385,0.9683257,CANDIDATE
5780715,0.9683221,CANDIDATE
10319385,0.96830875,CANDIDATE
12253769,0.9683083,CANDIDATE
9828127,0.9683045,CANDIDATE
8007174,0.9682968,CANDIDATE
7032421,0.96829534,CANDIDATE
9514372,0.9682875,CANDIDATE
11970988,0.9682501,CANDIDATE
9019191,0.9682433,CANDIDATE
8007174,0.96823746,CANDIDATE
9011877,0.9682276,CANDIDATE
8554498,0.96819955,CANDIDATE
11072016,0.9681925,CANDIDATE
10319385,0.9681791,CANDIDATE
8684730,0.9681433,CANDIDATE
9011877,0.9681416,CANDIDATE
10118266,0.9681131,CANDIDATE
9815053,0.9681009,CANDIDATE
9828127,0.9680987,CANDIDATE
11904704,0.9680884,CANDIDATE
11853130,0.9680816,CANDIDATE
8546542,0.9680522,CANDIDATE
8265218,0.96803725,CANDIDATE
9203154,0.96802336,CANDIDATE
9602613,0.9680072,CANDIDATE
12105051,0.9679826,CANDIDATE
