kepid,prob_confirmed,label
9886361,0.9999118,CANDIDATE
9886361,0.9999114,CANDIDATE
9886361,0.9999113,CANDIDATE
9886361,0.9999113,CANDIDATE
9886361,0.99991107,CANDIDATE
9886361,0.99991095,CANDIDATE
9886361,0.9999107,CANDIDATE
9886361,0.9999106,CANDIDATE
9886361,0.99991035,CANDIDATE
9886361,0.9999101,CANDIDATE
9886361,0.9999094,CANDIDATE
9886361,0.9999094,CANDIDATE
9886361,0.9999094,CANDIDATE
9008737,0.9999089,CANDIDATE
9886361,0.9999088,CANDIDATE
9886361,0.9999088,CANDIDATE
9886361,0.9999083,CANDIDATE
9886361,0.9999075,CANDIDATE
9008737,0.9999063,CANDIDATE
7673192,0.9999038,CANDIDATE
11129738,0.9999002,CANDIDATE
7673192,0.9999001,CANDIDATE
11129738,0.9998995,CANDIDATE
7673192,0.999899,CANDIDATE
7673192,0.999899,CANDIDATE
11853130,0.9998989,CANDIDATE
11853130,0.9998989,CANDIDATE
11129738,0.9998989,CANDIDATE
7673192,0.9998988,CANDIDATE
6871071,0.9998988,CANDIDATE
7673192,0.99989843,CANDIDATE
7673192,0.9998981,CANDIDATE
6871071,0.9998981,CANDIDATE
7673192,0.9998981,CANDIDATE
11129738,0.9998981,CANDIDATE
7673192,0.99989784,CANDIDATE
11129738,0.99989784,CANDIDATE
11129738,0.9998977,CANDIDATE
11853130,0.9998976,CANDIDATE
11853130,0.9998975,CANDIDATE
11853130,0.99989724,CANDIDATE
7673192,0.999897,CANDIDATE
9512981,0.99989676,CANDIDATE
11853130,0.99989676,CANDIDATE
7673192,0.9998964,CANDIDATE
7673192,0.99989605,CANDIDATE
10187017,0.99989593,CANDIDATE
11853130,0.99989593,CANDIDATE
10028792,0.99989545,CANDIDATE
9008737,0.99989545,CANDIDATE
10028792,0.99989533,CANDIDATE
10187017,0.99989533,CANDIDATE
11853130,0.9998952,CANDIDATE
9008737,0.9998952,CANDIDATE
11853130,0.9998951,CANDIDATE
11853130,0.9998951,CANDIDATE
10028792,0.999895,CANDIDATE
10028792,0.999895,CANDIDATE
10187017,0.99989486,CANDIDATE
10028792,0.99989486,CANDIDATE
11129738,0.99989486,CANDIDATE
10028792,0.99989486,CANDIDATE
11853130,0.99989474,CANDIDATE
10187017,0.9998946,CANDIDATE
10187017,0.9998946,CANDIDATE
11129738,0.9998946,CANDIDATE
10187017,0.9998945,CANDIDATE
6871071,0.9998945,CANDIDATE
10028792,0.9998945,CANDIDATE
10187017,0.9998945,CANDIDATE
11853130,0.9998944,CANDIDATE
10028792,0.9998944,CANDIDATE
10187017,0.99989426,CANDIDATE
7673192,0.99989426,CANDIDATE
9512981,0.99989414,CANDIDATE
10028792,0.999894,CANDIDATE
6871071,0.9998939,CANDIDATE
11129738,0.9998938,CANDIDATE
9008737,0.9998938,CANDIDATE
10028792,0.99989367,CANDIDATE
10187017,0.99989355,CANDIDATE
9008737,0.99989355,CANDIDATE
9512981,0.9998932,CANDIDATE
9008737,0.9998932,CANDIDATE
9008737,0.99989295,CANDIDATE
11129738,0.99989295,CANDIDATE
9008737,0.99989295,CANDIDATE
10187017,0.99989283,CANDIDATE
10187017,0.99989283,CANDIDATE
10122538,0.99989283,CANDIDATE
6871071,0.9998927,CANDIDATE
7673192,0.9998927,CANDIDATE
9512981,0.9998926,CANDIDATE
6871071,0.9998926,CANDIDATE
11853130,0.9998926,CANDIDATE
10187017,0.9998926,CANDIDATE
7219825,0.9998926,CANDIDATE
10122538,0.9998925,CANDIDATE
9008737,0.9998925,CANDIDATE
10028792,0.99989235,CANDIDATE
7219825,0.99989235,CANDIDATE
10122538,0.99989235,CANDIDATE
7673192,0.99989223,CANDIDATE
10122538,0.99989223,CANDIDATE
11129738,0.99989223,CANDIDATE
10187017,0.9998921,CANDIDATE
10187017,0.9998921,CANDIDATE
10028792,0.999892,CANDIDATE
10028792,0.999892,CANDIDATE
10717241,0.999892,CANDIDATE
9512981,0.9998919,CANDIDATE
10187017,0.9998919,CANDIDATE
10187017,0.99989176,CANDIDATE
9008737,0.99989176,CANDIDATE
10717241,0.99989164,CANDIDATE
7673192,0.99989164,CANDIDATE
6871071,0.99989164,CANDIDATE
6871071,0.9998915,CANDIDATE
6527078,0.9998913,CANDIDATE
10028792,0.99989116,CANDIDATE
6527078,0.99989104,CANDIDATE
6871071,0.99989104,CANDIDATE
9008737,0.99989104,CANDIDATE
7219825,0.9998909,CANDIDATE
