kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_depth,koi_time0bk
"K03627.01",10091110,,"FALSE POSITIVE","FALSE POSITIVE",4.218512654,16.67,23416.8,133.506768
"K03627.02",10091110,,"FALSE POSITIVE","FALSE POSITIVE",8.529991199,44.86,20083.7,137.654769
"K03628.01",3542574,,"FALSE POSITIVE","FALSE POSITIVE",3.47140045,,,133.750744
"K03629.01",3544694,,"FALSE POSITIVE","FALSE POSITIVE",1.922862476,70.65,101272,132.735702
"K03630.01",10259029,,"FALSE POSITIVE","FALSE POSITIVE",7.061149921,43.71,131257,134.558528
"K03720.01",10735331,,"FALSE POSITIVE","FALSE POSITIVE",213.3990406,35.2,13929.5,274.209685
"K03721.01",7763269,,"FALSE POSITIVE","FALSE POSITIVE",6.40802979,51.44,7784.1,134.0732
"K03722.01",8365739,,"FALSE POSITIVE","FALSE POSITIVE",2.38920105,,,132.05991
"K03723.01",5471606,,"FALSE POSITIVE","FALSE POSITIVE",0.962835804,458.02,14328.4,132.198475
"K03724.01",11200405,,"FALSE POSITIVE","FALSE POSITIVE",4.639602084,19.96,25079,135.09909
"K03725.01",3459199,,"FALSE POSITIVE","FALSE POSITIVE",1.570518376,450.76,2213.2,132.340523
"K03816.01",7877818,,"FALSE POSITIVE","FALSE POSITIVE",9.44942628,75.22,1211.9,132.45174
"K03817.01",5636642,,"FALSE POSITIVE","FALSE POSITIVE",0.933489066,48.01,14259,132.101834
"K03818.01",6515722,,"FALSE POSITIVE","FALSE POSITIVE",1.908525084,3.74,218.9,131.77571
"K03819.01",5560831,,"FALSE POSITIVE","FALSE POSITIVE",0.867721348,67,97653,132.161646
"K03820.01",5305404,,"FALSE POSITIVE","FALSE POSITIVE",161.252567,5.04,2911.5,189.10238
"K03821.01",5956776,,"FALSE POSITIVE","FALSE POSITIVE",0.569115097,156.15,585597,132.020841
