kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_depth,koi_time0bk
"K00082.01",10187017,"Kepler-102 e","CONFIRMED","CANDIDATE",16.145671932,2.48,941.1,134.754877
"K06186.01",8653134,"Kepler-1643 b","CONFIRMED","CANDIDATE",5.34264143,1.72,691.3,134.38122
"K00082.02",10187017,"Kepler-102 d","CONFIRMED","CANDIDATE",10.31174786,1.34,275.9,134.07991
"K00490.03",3239945,"Kepler-167 c","CONFIRMED","CANDIDATE",7.40611676,1.37,417.9,134.07481
"K04204.01",10593535,"Kepler-1568 b","CONFIRMED","CANDIDATE",20.9254083,1.26,109,134.8986
"K04312.01",10722485,"Kepler-1588 b","CONFIRMED","CANDIDATE",7.84931877,0.81,68.2,134.8747
"K00413.01",5791986,"Kepler-151 b","CONFIRMED","CANDIDATE",15.22895514,3,1124.8,176.56001
"K00427.02",10189546,"Kepler-549 b","CONFIRMED","CANDIDATE",42.949522,2.98,959.1,153.73786
"K00433.02",10937029,"Kepler-553 c","CONFIRMED","CANDIDATE",328.240201,10.99,13888.6,199.203375
"K00438.02",12302530,"Kepler-155 c","CONFIRMED","CANDIDATE",52.6615266,1.87,1078.1,183.52054
"K00446.01",4633570,"Kepler-158 b","CONFIRMED","CANDIDATE",16.70920628,2.27,839.8,174.75417
"K00454.01",7098355,"Kepler-558 b","CONFIRMED","CANDIDATE",29.00789166,2.64,906.3,170.55349
"K05416.01",7731281,"Kepler-1628 b","CONFIRMED","FALSE POSITIVE",76.377855,6.28,11004,146.3485
"K05706.01",9715631,"Kepler-1636 b","CONFIRMED","CANDIDATE",425.483539,3.2,996.6,149.0438
"K00475.02",10577994,"Kepler-165 c","CONFIRMED","CANDIDATE",15.31296388,2.34,864.9,171.79412
"K00483.01",11497977,"Kepler-571 b","CONFIRMED","CANDIDATE",4.79860021,2.51,817.4,173.257466
"K00082.03",10187017,"Kepler-102 f","CONFIRMED","CANDIDATE",27.4536146,0.95,136.4,145.02866
"K00499.01",4847534,"Kepler-579 b","CONFIRMED","CANDIDATE",9.66857386,1.9,411.7,174.53483
"K00082.04",10187017,"Kepler-102 c","CONFIRMED","CANDIDATE",7.07136119,0.63,65.7,139.98763
"K00505.01",5689351,"Kepler-169 e","CONFIRMED","CANDIDATE",13.76710058,2.24,684.8,174.81089
"K04212.01",1724719,"Kepler-1569 b","CONFIRMED","CANDIDATE",5.79179934,1.69,118.5,133.35814
